country;year;action;priority;public_ri_investment;private_ri_investment;inventions;public_ri_investment_eu_share;private_ri_investment_eu_share;inventions_eu_share;specialisation_index_inventions
Austria;2006;Renewable energy technologies;Number 1 in Renewables;2,505;49,976276;12,02391518;0,009138822;0,023488628;0,020358431;-0,099951816
Austria;2006;Smart solutions for consumers;Smart systems;2,057;28,2479228;11,79404768;0,040078706;0,021530522;0,023698535;0,047714497
Austria;2006;Integrated & flexible energy system;Smart systems;8,377;11,985364;5,185714278;0,015716068;0,027193117;0,031577521;0,396045228
Austria;2006;Energy efficiency in buildings;Energy efficiency;1,706;17,727072;3,124999993;0,031691754;0,033454326;0,026310286;0,163180281
Austria;2006;Energy efficiency in industry;Energy efficiency;3,7;30,2734276;13,15053556;0,029567886;0,01377838;0,020186641;-0,10754668
Austria;2006;Batteries & e-mobility;Sustainable transport;;9,816386;3,800288573;;0,011051902;0,012303896;-0,456043572
Austria;2006;Renewable fuels & bioenergy;Sustainable transport;20,297;117,7058157;13,19076484;0,050368329;0,08706059;0,034903182;0,543073028
Austria;2006;CCUS;CCUS;0,081;1,506533;0,699999982;0,002548778;0,010478893;0,014220832;-0,371295661
Austria;2006;Nuclear safety;Nuclear safety;3,676;;0;0,004248206;;0;0
Austria;2007;Renewable energy technologies;Number 1 in Renewables;3,059;78,6036493;20,36932778;0,010463314;0,031006641;0,024187475;-0,114555752
Austria;2007;Smart solutions for consumers;Smart systems;2,2065;81,5655055;28,75753983;0,027637198;0,041459396;0,050639508;0,853788402
Austria;2007;Integrated & flexible energy system;Smart systems;4,865;17,7113788;7,110119095;0,009483416;0,033104141;0,036423881;0,333389114
Austria;2007;Energy efficiency in buildings;Energy efficiency;1,1025;52,134445;9,973809596;0,013378976;0,053280428;0,048897572;0,790020383
Austria;2007;Energy efficiency in industry;Energy efficiency;2,571;35,757477;11,46310223;0,013271861;0,016003944;0,016860151;-0,382791164
Austria;2007;Batteries & e-mobility;Sustainable transport;;46,41534;6,405302987;;0,032908925;0,013284428;-0,513689611
Austria;2007;Renewable fuels & bioenergy;Sustainable transport;14,722;54,347254;12,48412718;0,027397352;0,027785216;0,025515422;-0,065942891
Austria;2007;CCUS;CCUS;0,073;2,81767;0,694444448;0,0010806;0,01270848;0,010377245;-0,620114465
Austria;2007;Nuclear safety;Nuclear safety;3,287;;0;0,003534791;;0;0
Austria;2008;Renewable energy technologies;Number 1 in Renewables;7,321;48,468495;19,08338763;0,019250851;0,013334732;0,016053877;-0,296536666
Austria;2008;Smart solutions for consumers;Smart systems;6,0615;80,394649;20,9706684;0,05717947;0,035986793;0,031460373;0,378559127
Austria;2008;Integrated & flexible energy system;Smart systems;15,85;13,3312796;4,659897313;0,028471767;0,021419587;0,020056877;-0,121129595
Austria;2008;Energy efficiency in buildings;Energy efficiency;6,5255;34,111727;9,388095267;0,054385332;0,039176503;0,039677327;0,738617057
Austria;2008;Energy efficiency in industry;Energy efficiency;5,305;44,390312;17,40661875;0,027235432;0,01907365;0,024697618;0,082222609
Austria;2008;Batteries & e-mobility;Sustainable transport;;44,668204;6,441968029;;0,028736301;0,012057651;-0,471646909
Austria;2008;Renewable fuels & bioenergy;Sustainable transport;25,152;68,414779;13,17993787;0,046880318;0,038714208;0,028756029;0,260057723
Austria;2008;CCUS;CCUS;0,499;8,202833;3,292307258;0,009628697;0,031497763;0,036022767;0,578478254
Austria;2008;Nuclear safety;Nuclear safety;4,453;;0;0,004673363;;0;0
Austria;2009;Renewable energy technologies;Number 1 in Renewables;12,506;109,9515585;29,63956379;0,02417547;0,022466692;0,020128568;-0,196945592
Austria;2009;Smart solutions for consumers;Smart systems;5,324;96,9960991;29,50040542;0,042400876;0,043493063;0,040269123;0,606587035
Austria;2009;Integrated & flexible energy system;Smart systems;16,551;16,252135;3,694047645;0,032347092;0,018464983;0,013465029;-0,462795829
Austria;2009;Energy efficiency in buildings;Energy efficiency;10,312;28,7392409;6,886904769;0,070927607;0,022372527;0,022525141;-0,101331313
Austria;2009;Energy efficiency in industry;Energy efficiency;10,681;52,5744533;17,60200203;0,029394286;0,021264116;0,023523047;-0,061518623
Austria;2009;Batteries & e-mobility;Sustainable transport;;144,8009875;16,8761945;;0,068204874;0,024172891;-0,035592282
Austria;2009;Renewable fuels & bioenergy;Sustainable transport;33,824;75,187804;11,03292794;0,042803812;0,041329736;0,024102023;-0,038419636
Austria;2009;CCUS;CCUS;0,09;14,056534;6,152223659;0,000681183;0,045813366;0,053229315;1,123650094
Austria;2009;Nuclear safety;Nuclear safety;2,982;;0;0,002974793;;0;0
Austria;2010;Renewable energy technologies;Number 1 in Renewables;19,168;108,3876256;31,15828513;0,026194268;0,020378545;0,018534826;-0,275124953
Austria;2010;Smart solutions for consumers;Smart systems;7,6815;73,589317;23,43825632;0,060222788;0,027687092;0,031122227;0,217153326
Austria;2010;Integrated & flexible energy system;Smart systems;24,5;23,75226;7,558241814;0,038578137;0,022705255;0,022317623;-0,127184253
Austria;2010;Energy efficiency in buildings;Energy efficiency;12,3485;28,826044;6,607142929;0,063512023;0,024147557;0,020792461;-0,186831539
Austria;2010;Energy efficiency in industry;Energy efficiency;9,739;65,8646598;19,98692004;0,022887355;0,025117044;0,023446975;-0,083016653
Austria;2010;Batteries & e-mobility;Sustainable transport;;618,9599506;38,7469617;;0,174311593;0,038157662;0,492300853
Austria;2010;Renewable fuels & bioenergy;Sustainable transport;43,906;58,403432;11,8125061;0,046492444;0,037525652;0,026973069;0,054884703
Austria;2010;CCUS;CCUS;0,569;5,49712;2,299046366;0,003836924;0,019564032;0,021790608;-0,147795186
Austria;2010;Nuclear safety;Nuclear safety;3,067;;0,400000006;0,002955161;;0,007719366;-0,698104774
Austria;2011;Renewable energy technologies;Number 1 in Renewables;19,368;93,1002848;37,69294503;0,026326954;0,018526487;0,019731099;-0,144625304
Austria;2011;Smart solutions for consumers;Smart systems;10,4695;100,9528959;32,04765285;0,097993533;0,043155497;0,041985483;0,820137799
Austria;2011;Integrated & flexible energy system;Smart systems;19,039;18,1524504;7,084860142;0,025816058;0,018857255;0,019200113;-0,167644423
Austria;2011;Energy efficiency in buildings;Energy efficiency;4,182;22,983148;8,938888956;0,023222171;0,028148458;0,028801893;0,248608097
Austria;2011;Energy efficiency in industry;Energy efficiency;11,5115;62,0865961;23,98619198;0,028533858;0,022193336;0,023928658;0,037345579
Austria;2011;Batteries & e-mobility;Sustainable transport;;331,1740988;21,72669416;;0,078447029;0,016636989;-0,27875991
Austria;2011;Renewable fuels & bioenergy;Sustainable transport;53,108;32,236154;10,85927797;0,052521565;0,020962335;0,020461773;-0,11294942
Austria;2011;CCUS;CCUS;0,518;8,2444945;3,976375228;0,004960377;0,035398426;0,037194136;0,612425244
Austria;2011;Nuclear safety;Nuclear safety;2,627;3,75898;0,400000006;0,002392964;0,009181002;0,006525924;-0,717090758
Austria;2012;Renewable energy technologies;Number 1 in Renewables;14,484;122,880085;43,028354;0,021996511;0,024950325;0,022020426;-0,241752825
Austria;2012;Smart solutions for consumers;Smart systems;7,187;120,7163802;55,35951504;0,061781427;0,048527318;0,054085291;0,862362668
Austria;2012;Integrated & flexible energy system;Smart systems;29,468;20,427248;9,662541822;0,040789295;0,017719616;0,019384831;-0,332506416
Austria;2012;Energy efficiency in buildings;Energy efficiency;6,4715;17,140941;5,49166669;0,031575057;0,027263982;0,022423087;-0,227887668
Austria;2012;Energy efficiency in industry;Energy efficiency;20,9525;70,5894;25,84217787;0,045719844;0,022392536;0,021687554;-0,253214863
Austria;2012;Batteries & e-mobility;Sustainable transport;;537,146502;44,70851645;;0,110144161;0,029711977;0,023096598
Austria;2012;Renewable fuels & bioenergy;Sustainable transport;38,292;39,990342;17,65314244;0,044544927;0,021173779;0,024085742;-0,170636138
Austria;2012;CCUS;CCUS;0,728;25,14896;12,23082294;0,007426702;0,070069423;0,08185587;1,818609518
Austria;2012;Nuclear safety;Nuclear safety;2,518;;0;0,002017209;;0;0
Austria;2013;Renewable energy technologies;Number 1 in Renewables;21,075;69,441898;24,86776391;0,029320327;0,018696795;0,015564484;-0,481248202
Austria;2013;Smart solutions for consumers;Smart systems;12,9565;141,635136;75,55959659;0,118888005;0,063300273;0,071490828;1,382732025
Austria;2013;Integrated & flexible energy system;Smart systems;32,877;29,620664;12,26944454;0,037012303;0,02565857;0,02506123;-0,16472927
Austria;2013;Energy efficiency in buildings;Energy efficiency;6,3135;6,22234;2,500000015;0,037294267;0,011495477;0,012206638;-0,593162532
Austria;2013;Energy efficiency in industry;Energy efficiency;25,969;153,930724;42,49940549;0,066832348;0,047312734;0,03394013;0,131197335
Austria;2013;Batteries & e-mobility;Sustainable transport;;265,5296145;24,48560604;;0,066833133;0,017067544;-0,431152437
Austria;2013;Renewable fuels & bioenergy;Sustainable transport;22,625;104,20315;20,5277779;0,028927249;0,053877561;0,02894618;-0,035247021
Austria;2013;CCUS;CCUS;0,201;11,338425;5,77083341;0,001985853;0,046456142;0,044989199;0,499453962
Austria;2013;Nuclear safety;Nuclear safety;2,538;;0;0,002003636;;0;0
Austria;2014;Renewable energy technologies;Number 1 in Renewables;23,029;98,393581;32,11190536;0,033617618;0,028909208;0,02345964;-0,318688445
Austria;2014;Smart solutions for consumers;Smart systems;11,206;192,720146;100,919853;0,087522984;0,082703904;0,097311518;1,826107334
Austria;2014;Integrated & flexible energy system;Smart systems;38,984;57,228003;11,532398;0,041059585;0,054321886;0,022468589;-0,347470417
Austria;2014;Energy efficiency in buildings;Energy efficiency;7,9165;19,86641;6,197619054;0,045715679;0,036640078;0,033079468;-0,039310782
Austria;2014;Energy efficiency in industry;Energy efficiency;26,8065;115,639359;39,74137782;0,067953192;0,035399559;0,030215424;-0,122487923
Austria;2014;Batteries & e-mobility;Sustainable transport;;198,540142;22,63562946;;0,051085481;0,01643895;-0,522582328
Austria;2014;Renewable fuels & bioenergy;Sustainable transport;33,408;79,109784;14,64196968;0,047960764;0,034069639;0,018711144;-0,456593617
Austria;2014;CCUS;CCUS;0,237;9,485574;4,798449688;0,00198341;0,041092079;0,042802742;0,243071178
Austria;2014;Nuclear safety;Nuclear safety;1,51;;0;0,001327319;;0;0
Austria;2015;Renewable energy technologies;Number 1 in Renewables;11,973;62,351834;24,58214313;0,017236657;0,020621633;0,019700523;-0,367427091
Austria;2015;Smart solutions for consumers;Smart systems;10,0555;191,258139;80,68888973;0,095664537;0,086854642;0,084223801;1,704379641
Austria;2015;Integrated & flexible energy system;Smart systems;43,654;12,612662;5,364583366;0,04615465;0,012235328;0,011675083;-0,625119534
Austria;2015;Energy efficiency in buildings;Energy efficiency;3,8425;11,61311;5,37500003;0,025208595;0,03886582;0,035798505;0,149470205
Austria;2015;Energy efficiency in industry;Energy efficiency;30,597;79,411888;23,14236138;0,076489868;0,022210385;0,017307841;-0,444254804
Austria;2015;Batteries & e-mobility;Sustainable transport;;323,531662;20,68333336;;0,091009489;0,017499243;-0,438108978
Austria;2015;Renewable fuels & bioenergy;Sustainable transport;24,303;72,275293;33,41477115;0,035704078;0,03294593;0,041758696;0,340848617
Austria;2015;CCUS;CCUS;2,687;5,788633;2,933333322;0,045752041;0,025616162;0,026992615;-0,133282077
Austria;2015;Nuclear safety;Nuclear safety;1,302;;0;0,001049291;;0;0
Austria;2016;Renewable energy technologies;Number 1 in Renewables;19,405;26,96887;11,61111128;0,028034705;0,009212312;0,009713852;-0,600380018
Austria;2016;Smart solutions for consumers;Smart systems;8,0975;156,399953;60,58928624;0,081377445;0,074194571;0,069118597;1,843482891
Austria;2016;Integrated & flexible energy system;Smart systems;39,027;19,410942;15,46666664;0,045022694;0,021480398;0,037193893;0,530126503
Austria;2016;Energy efficiency in buildings;Energy efficiency;5,0635;11,260866;3,166666716;0,037186203;0,035423223;0,024353843;0,001897296
Austria;2016;Energy efficiency in industry;Energy efficiency;36,674;67,547934;21,82222237;0,100412177;0,022284578;0,017144855;-0,294674617
Austria;2016;Batteries & e-mobility;Sustainable transport;;180,946607;15,06247168;;0,056021217;0,012793739;-0,473675989
Austria;2016;Renewable fuels & bioenergy;Sustainable transport;30,732;72,598557;14,02244898;0,047947384;0,035949977;0,019796555;-0,185585816
Austria;2016;CCUS;CCUS;0,376;5,13514;2,5;0,006153855;0,027427097;0,027562232;0,13388782
Austria;2016;Nuclear safety;Nuclear safety;1,518;;0;0,001287568;;0;0
Austria;2017;Renewable energy technologies;Number 1 in Renewables;12,348;6,52342;0;0,018059727;0,007940009;0;0
Austria;2017;Smart solutions for consumers;Smart systems;12,976;84,90303;0;0,114946747;0,102056604;0;0
Austria;2017;Integrated & flexible energy system;Smart systems;45,533;64,2088;0;0,050226447;0,160860553;0;0
Austria;2017;Energy efficiency in buildings;Energy efficiency;4,5945;;0;0,026537823;;0;0
Austria;2017;Energy efficiency in industry;Energy efficiency;21,0865;65,04596;0;0,049823012;0,059600954;0;0
Austria;2017;Batteries & e-mobility;Sustainable transport;;64,17312;0;;0,046669754;0;0
Austria;2017;Renewable fuels & bioenergy;Sustainable transport;40,724;254,29225;0;0,061199623;0,338670002;0;0
Austria;2017;CCUS;CCUS;0,858;;0;0,011343984;;0;0
Austria;2017;Nuclear safety;Nuclear safety;1,215;;0;0,000975592;;0;0
Austria;2018;Renewable energy technologies;Number 1 in Renewables;14,58;;0;0,024839311;;0;0
Austria;2018;Smart solutions for consumers;Smart systems;5,6385;;0;0,068391119;;0;0
Austria;2018;Integrated & flexible energy system;Smart systems;44,63;;0;0,045570339;;0;0
Austria;2018;Energy efficiency in buildings;Energy efficiency;8,6575;;0;0,089578242;;0;0
Austria;2018;Energy efficiency in industry;Energy efficiency;26,763;;0;0,088733619;;0;0
Austria;2018;Batteries & e-mobility;Sustainable transport;;;0;;;0;0
Austria;2018;Renewable fuels & bioenergy;Sustainable transport;41,694;;0;0,058909654;;0;0
Austria;2018;CCUS;CCUS;0,269;;0;0,003078421;;0;0
Austria;2018;Nuclear safety;Nuclear safety;1,829;;0;0,001452129;;0;0
Austria;2019;Renewable energy technologies;Number 1 in Renewables;;;0;;;0;0
Austria;2019;Smart solutions for consumers;Smart systems;;;0;;;0;0
Austria;2019;Integrated & flexible energy system;Smart systems;;;0;;;0;0
Austria;2019;Energy efficiency in buildings;Energy efficiency;;;0;;;0;0
Austria;2019;Energy efficiency in industry;Energy efficiency;;;0;;;0;0
Austria;2019;Batteries & e-mobility;Sustainable transport;;;0;;;0;0
Austria;2019;Renewable fuels & bioenergy;Sustainable transport;;;0;;;0;0
Austria;2019;CCUS;CCUS;;;0;;;0;0
Austria;2019;Nuclear safety;Nuclear safety;;;0;;;0;0
Austria;2020;Renewable energy technologies;Number 1 in Renewables;;;0;;;0;0
Austria;2020;Smart solutions for consumers;Smart systems;;;0;;;0;0
Austria;2020;Integrated & flexible energy system;Smart systems;;;0;;;0;0
Austria;2020;Energy efficiency in buildings;Energy efficiency;;;0;;;0;0
Austria;2020;Energy efficiency in industry;Energy efficiency;;;0;;;0;0
Austria;2020;Batteries & e-mobility;Sustainable transport;;;0;;;0;0
Austria;2020;Renewable fuels & bioenergy;Sustainable transport;;;0;;;0;0
Austria;2020;CCUS;CCUS;;;0;;;0;0
Austria;2020;Nuclear safety;Nuclear safety;;;0;;;0;0
Belgium;2004;Renewable energy technologies;Number 1 in Renewables;;6,49813;8,391799018;;0,005452712;0,020661688;0,199121451
Belgium;2004;Smart solutions for consumers;Smart systems;;7,926698;5,333333362;;0,006797337;0,012088254;-0,298446247
Belgium;2004;Integrated & flexible energy system;Smart systems;;;0,323076923;;;0,00209994;-0,878127893
Belgium;2004;Energy efficiency in buildings;Energy efficiency;;;0;;;0;0
Belgium;2004;Energy efficiency in industry;Energy efficiency;;53,340189;19,37493946;;0,027523244;0,033697333;0,95565794
Belgium;2004;Batteries & e-mobility;Sustainable transport;;;0;;;0;0
Belgium;2004;Renewable fuels & bioenergy;Sustainable transport;;14,20608;4,515893911;;0,016267315;0,016192371;-0,060259751
Belgium;2004;CCUS;CCUS;;;0;;;0;0
Belgium;2004;Nuclear safety;Nuclear safety;;;0;;;0;0
Belgium;2005;Renewable energy technologies;Number 1 in Renewables;;8,38867;4,117857128;;0,005103153;0,009323613;-0,256436324
Belgium;2005;Smart solutions for consumers;Smart systems;;7,24105;5,386996314;;0,006521021;0,011496194;-0,083171656
Belgium;2005;Integrated & flexible energy system;Smart systems;;0,8603854;0,449299719;;0,001929311;0,002661354;-0,787755453
Belgium;2005;Energy efficiency in buildings;Energy efficiency;;2,16635;1;;0,005461962;0,008175675;-0,347985073
Belgium;2005;Energy efficiency in industry;Energy efficiency;;32,530879;15,62794528;;0,016247168;0,025954214;1,069864028
Belgium;2005;Batteries & e-mobility;Sustainable transport;;;0;;;0;0
Belgium;2005;Renewable fuels & bioenergy;Sustainable transport;;8,550903;3,50000003;;0,007185841;0,010624316;-0,152704451
Belgium;2005;CCUS;CCUS;;1,2261624;0,558823526;;0,010387314;0,011783647;-0,060247149
Belgium;2005;Nuclear safety;Nuclear safety;;;0,1037037;;;0,00294123;-0,765435157
Belgium;2006;Renewable energy technologies;Number 1 in Renewables;;7,36619;3,790657058;;0,003462077;0,006418195;-0,391875948
Belgium;2006;Smart solutions for consumers;Smart systems;;3,158637;5,874109855;;0,002407508;0,011803225;0,11835573
Belgium;2006;Integrated & flexible energy system;Smart systems;;5,18338;1,666666687;;0,011760365;0,010148882;-0,038393283
Belgium;2006;Energy efficiency in buildings;Energy efficiency;;2,71271;0,75;;0,005119395;0,006314469;-0,401703995
Belgium;2006;Energy efficiency in industry;Energy efficiency;;54,604444;13,71496957;;0,024852183;0,021053071;0,994778813
Belgium;2006;Batteries & e-mobility;Sustainable transport;;1,871285;0,482142851;;0,00210681;0,001560996;-0,852095599
Belgium;2006;Renewable fuels & bioenergy;Sustainable transport;;8,700909;2,992095597;;0,006435589;0,00791718;-0,249847094
Belgium;2006;CCUS;CCUS;;;0;;;0;0
Belgium;2006;Nuclear safety;Nuclear safety;;;0,111111112;;;0,004412706;-0,581896058
Belgium;2007;Renewable energy technologies;Number 1 in Renewables;11,257;21,4371065;8,957336696;0,038504586;0,008456257;0,010636353;-0,24902965
Belgium;2007;Smart solutions for consumers;Smart systems;3,1735;21,356511;10,36666671;0,039749218;0,010855423;0,018254792;0,288863527
Belgium;2007;Integrated & flexible energy system;Smart systems;11,216;1,2591;1,769841306;0,021863514;0,00235337;0,009066584;-0,35986183
Belgium;2007;Energy efficiency in buildings;Energy efficiency;3,1735;12,94089;3,25;0,038510821;0,013225348;0,015933441;0,124966607
Belgium;2007;Energy efficiency in industry;Energy efficiency;11,257;71,1447563;20,28025341;0,058110205;0,0318422;0,029828586;1,106021079
Belgium;2007;Batteries & e-mobility;Sustainable transport;;;0,428571448;;;0,000888846;-0,937243824
Belgium;2007;Renewable fuels & bioenergy;Sustainable transport;9,759;34,959727;5,207875401;0,018161306;0,017873277;0,010644007;-0,248489249
Belgium;2007;CCUS;CCUS;0,085;0,1972603;0,166666657;0,001258233;0,000889699;0,002490539;-0,824157707
Belgium;2007;Nuclear safety;Nuclear safety;44,342;;0;0,047684729;;0;0
Belgium;2008;Renewable energy technologies;Number 1 in Renewables;;34,2126197;18,29017954;;0,009412632;0,015386592;0,00185478
Belgium;2008;Smart solutions for consumers;Smart systems;;12,89917;6,280952469;;0,005774013;0,009422738;-0,386464858
Belgium;2008;Integrated & flexible energy system;Smart systems;;2,0802269;1,041975297;;0,003342335;0,004484813;-0,707983946
Belgium;2008;Energy efficiency in buildings;Energy efficiency;;27,7333596;8,004904114;;0,031851101;0,033831484;1,202842233
Belgium;2008;Energy efficiency in industry;Energy efficiency;;105,221317;25,26415521;;0,045211544;0,035846391;1,334037224
Belgium;2008;Batteries & e-mobility;Sustainable transport;;;1;;;0,001871734;-0,878127281
Belgium;2008;Renewable fuels & bioenergy;Sustainable transport;;10,3472;1,5;;0,005855221;0,003272705;-0,786907017
Belgium;2008;CCUS;CCUS;;6,2011157;2,162108986;;0,023811441;0,023656707;0,540340156
Belgium;2008;Nuclear safety;Nuclear safety;;;0;;;0;0
Belgium;2009;Renewable energy technologies;Number 1 in Renewables;;70,879085;24,41407963;;0,01448291;0,016579882;0,006269961
Belgium;2009;Smart solutions for consumers;Smart systems;;37,3621051;20,08577725;;0,016753173;0,027417814;0,664048211
Belgium;2009;Integrated & flexible energy system;Smart systems;;6,761136;2,81309519;;0,007681715;0,010253904;-0,377667759
Belgium;2009;Energy efficiency in buildings;Energy efficiency;;15,115552;3,904629666;;0,011766946;0,012770953;-0,224902438
Belgium;2009;Energy efficiency in industry;Energy efficiency;;117,21505;21,98018498;;0,04740847;0,029373984;0,782772492
Belgium;2009;Batteries & e-mobility;Sustainable transport;;10,241177;3,231805279;;0,00482385;0,004629129;-0,719047869
Belgium;2009;Renewable fuels & bioenergy;Sustainable transport;;3,634112;2,520317459;;0,001997623;0,005505769;-0,665842632
Belgium;2009;CCUS;CCUS;;0,435952;0,128205121;;0,001420864;0,001109236;-0,932677969
Belgium;2009;Nuclear safety;Nuclear safety;;;0,714285728;;;0,018884027;0,146113627
Belgium;2010;Renewable energy technologies;Number 1 in Renewables;0;57,9689885;23,9962037;0;0,010899064;0,014274389;-0,059809782
Belgium;2010;Smart solutions for consumers;Smart systems;0;20,2168006;10,29447028;0;0,007606327;0,013669397;-0,099657853
Belgium;2010;Integrated & flexible energy system;Smart systems;0;3,2077455;3,436737782;0;0,003066347;0,010147839;-0,331607183
Belgium;2010;Energy efficiency in buildings;Energy efficiency;0;16,5595884;5,017857147;0;0,013871956;0,015791031;0,040084689
Belgium;2010;Energy efficiency in industry;Energy efficiency;0;128,033573;27,74401251;0;0,04882474;0,032546944;1,143721832
Belgium;2010;Batteries & e-mobility;Sustainable transport;;9,467123;2,473117038;;0,002666133;0,002435504;-0,839584256
Belgium;2010;Renewable fuels & bioenergy;Sustainable transport;0;45,724704;10,56251086;0;0,029379255;0,024118788;0,588596871
Belgium;2010;CCUS;CCUS;0;1,17915;0,794444449;0;0,004196548;0,00752983;-0,504043743
Belgium;2010;Nuclear safety;Nuclear safety;56,086;;0;0,054040808;;0;0
Belgium;2011;Renewable energy technologies;Number 1 in Renewables;14,008;65,270094;31,39141436;0,019041098;0,012988419;0,016432441;0,116529053
Belgium;2011;Smart solutions for consumers;Smart systems;5,4735;38,0863829;15,34839396;0,051231444;0,016281225;0,02010786;0,366261393
Belgium;2011;Integrated & flexible energy system;Smart systems;17,892;7,094234;3,317472284;0,024260775;0,007369681;0,008990416;-0,389131498
Belgium;2011;Energy efficiency in buildings;Energy efficiency;6,4505;18,2657784;6,949413087;0,035818894;0,022370891;0,022391625;0,521435514
Belgium;2011;Energy efficiency in industry;Energy efficiency;19,596;83,911697;24,06717386;0,04857312;0,029994888;0,024009446;0,631360969
Belgium;2011;Batteries & e-mobility;Sustainable transport;;28,541714;8,48554136;;0,006760833;0,006497715;-0,558502163
Belgium;2011;Renewable fuels & bioenergy;Sustainable transport;17,706;7,17365;2,996969737;0,017510485;0,004664839;0,00564709;-0,616299285
Belgium;2011;CCUS;CCUS;0;0,712156;0,250000007;0;0,003057701;0,002338445;-0,841110548
Belgium;2011;Nuclear safety;Nuclear safety;69,72;1,27035;0,800000012;0,063508747;0,003102726;0,013051848;-0,113170875
Belgium;2012;Renewable energy technologies;Number 1 in Renewables;12,482;85,568172;35,66398596;0,01895612;0,017374285;0,018251597;0,176653337
Belgium;2012;Smart solutions for consumers;Smart systems;7,2885;25,012823;25,59235221;0,062653949;0,010055017;0,025003287;0,611924763
Belgium;2012;Integrated & flexible energy system;Smart systems;31,284;10,230611;5,865584401;0,043302983;0,008874544;0,011767438;-0,241370757
Belgium;2012;Energy efficiency in buildings;Energy efficiency;8,6755;10,207945;4,100000054;0,04232858;0,01623652;0,016740757;0,079251756
Belgium;2012;Energy efficiency in industry;Energy efficiency;43,265;58,410282;26,46341934;0,094407305;0,018529047;0,022208919;0,431776057
Belgium;2012;Batteries & e-mobility;Sustainable transport;;17,800035;6,101785749;;0,003649972;0,004055069;-0,738575721
Belgium;2012;Renewable fuels & bioenergy;Sustainable transport;23,891;14,3397262;9,615389057;0,027792302;0,007592488;0,013119125;-0,154229513
Belgium;2012;CCUS;CCUS;2,458;2,99753;0,886363655;0,025075322;0,008351645;0,005932068;-0,617568412
Belgium;2012;Nuclear safety;Nuclear safety;81,453;;0;0,065253276;;0;0
Belgium;2013;Renewable energy technologies;Number 1 in Renewables;11,409;52,449894;28,38344542;0,015872627;0,014121805;0,017764914;0,453669121
Belgium;2013;Smart solutions for consumers;Smart systems;6,734;21,165482;12,49999991;0,061790748;0,009459381;0,011826894;-0,032227774
Belgium;2013;Integrated & flexible energy system;Smart systems;20,79;14,50924;7,091666708;0,023404987;0,012568468;0,014485243;0,185299907
Belgium;2013;Energy efficiency in buildings;Energy efficiency;8,627;2,213564;1,514285766;0,050960266;0,004089454;0,007393735;-0,394984718
Belgium;2013;Energy efficiency in industry;Energy efficiency;16,125;49,588615;21,78639979;0,041498387;0,015241746;0,017398672;0,423700247
Belgium;2013;Batteries & e-mobility;Sustainable transport;;10,083709;5,444905095;;0,002538044;0,003795338;-0,689434699
Belgium;2013;Renewable fuels & bioenergy;Sustainable transport;27,52;14,4193881;8,19494311;0,035185763;0,007455451;0,011555673;-0,054421249
Belgium;2013;CCUS;CCUS;0;;0;0;;0;0
Belgium;2013;Nuclear safety;Nuclear safety;103,553;;0;0,081750401;;0;0
